STATE,COUNTY,B20004_006E,B20004_003E,B20004_001E,STATE_NAME,B23013_001E,B23020_001E,B19083_001E,B22008_003E,B22008_002E,B25058_001E,B25071_001E,B25077_001E,tract_count,top5_count,top5_pct,consistently_missing
51,131,0.0415,0.2423,0.6813,Virginia,0.7795,0.715,0.6496,0.592,0.0676,0.2748,0.4296,0.4496,4,9,0.82,False
12,43,0.0415,0.4846,0.6813,Florida,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
45,53,0.0663,0.1938,0.545,South Carolina,0.6236,0.572,0.5197,0.4736,0.0541,0.2199,0.3437,0.3597,5,9,0.82,False
15,7,0.039,0.228,0.6412,Hawaii,0.7336,0.6729,0.6114,0.5572,0.0637,0.2587,0.4043,0.4232,17,9,0.82,False
37,137,0.0663,0.1938,0.545,North Carolina,0.6236,0.572,0.5197,0.4736,0.0541,0.2199,0.3437,0.3597,5,9,0.82,False
21,221,0.0663,0.3876,1.0901,Kentucky,1.2472,1.1439,1.0394,0.9472,0.0812,0.6596,1.0311,0.7194,5,9,0.82,False
27,75,0.0415,0.2423,0.6813,Minnesota,0.7795,0.715,0.6496,0.592,0.0676,0.2748,0.4296,0.4496,4,9,0.82,False
22,75,0.0921,0.2153,0.3028,Louisiana,0.3464,0.3177,0.2887,0.2631,0.0301,0.4886,0.5728,0.1998,9,9,0.82,False
26,153,0.0829,0.2423,0.6813,Michigan,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
48,57,0.0829,0.323,0.4543,Texas,0.5198,0.4767,0.4332,0.3947,0.0451,0.1833,0.2865,0.2998,6,9,0.82,False
51,103,0.0415,0.2423,0.6813,Virginia,0.7795,0.715,0.6496,0.592,0.0676,0.5497,0.4296,0.4496,4,9,0.82,False
8,43,0.0592,0.2077,0.1946,Colorado,0.2226,0.4087,0.5568,0.5075,0.0483,0.2356,0.3683,0.3854,14,9,0.82,False
21,143,0.0553,0.323,0.9083,Kentucky,1.0392,0.9532,0.8661,0.7893,0.0451,0.3664,0.5728,0.5994,3,9,0.82,False
